latitude	longitude	altitude	name
37.76699671	-121.7032165	502.9	109
37.64751166	-122.0413487	165.6	110
37.52470901	-121.9004045	359.3	111
37.69725882	-121.5580332	164.6	112
37.64874066	-121.6485246	317	113
37.69042591	-122.0025214	324.8	114
37.7100637	-121.5575518	113.8	115
37.63483394	-122.0414421	94.9	116
37.50886708	-121.4976943	880.4	117
37.6495289	-121.8572786	194	118
37.67616954	-121.7337903	177	119
37.68847887	-122.0132448	192.4	120
37.73722329	-122.0520367	143	121
37.6657925	-121.7284283	190	122
37.64592978	-121.9186974	449.4	123
37.67718356	-121.8306988	93.7	124
37.76201242	-121.7201515	358.3	125
37.51169922	-121.4974774	880.7	126
37.49480044	-121.6625035	893	127
37.56946835	-121.7185161	601.6	128
37.56018857	-121.8097128	340.3	129
37.62578379	-121.7409392	287.6	130
37.61509373	-121.8762546	96.8	131
37.71386409	-121.9916368	254.6	132
37.79859737	-122.0935419	170.9	133
37.64640244	-121.6175362	449.7	134
37.67151825	-121.9988864	208.2	135
37.64293585	-122.0292482	210.1	136
37.57725561	-121.8030599	179.9	137
37.73511839	-122.0534551	131.2	138
37.63720016	-121.8360653	271.1	139
37.62054435	-121.8851053	135.5	140
37.72123042	-121.5603234	104	141
37.72420068	-122.0175725	250.8	142
37.56152129	-121.871946	84.9	143
37.73886806	-122.0549678	139.1	144
37.56380443	-121.9046917	206.1	145
37.62434713	-121.7876143	250.1	146
37.76892802	-121.5620133	37.9	147
37.62951454	-121.9299477	580	148
37.53880623	-121.9184709	122.8	149
37.63201856	-121.7762431	174.2	150
37.58260583	-121.8026482	144.8	151
37.58310722	-121.9903692	24.2	152
37.73284242	-121.6086394	175.6	153
37.5634209	-121.9035581	188.5	154
37.64419867	-121.6489685	340.3	155
37.68217837	-121.794815	139	156
37.60994525	-121.8205507	189	157
37.65045498	-121.5784094	378.6	158
37.61549052	-121.874205	136.4	159
37.5647769	-121.8292508	196.9	160
37.57322026	-121.8745685	81.8	161
37.72654746	-122.0404776	181.1	162
37.66907166	-121.9609944	419.6	163
37.70263514	-121.797713	131.9	164
37.6439382	-121.6447207	334.8	165
37.59619086	-121.9113001	137.5	166
37.72686548	-122.0331086	171.4	167
37.65509143	-121.5762262	438.9	168
37.70752636	-122.0128946	175.7	169
37.49887755	-121.5114026	850	170
37.56745718	-121.7419113	597.5	171
37.56525433	-121.9535351	40.5	172
37.59541004	-121.6791467	333.2	173
37.73141937	-122.0213027	318.5	174
37.7430927	-122.1146707	140.2	175
37.66862883	-121.5575651	448.1	176
37.77826143	-122.0843534	214.5	177
37.76511488	-122.095315	139.9	178
37.5333451	-121.8879379	342.8	179
37.63832918	-121.5735152	236.8	180
37.500815	-121.544931	842.8	181
37.70093203	-121.5591145	144.3	182
37.70533268	-121.9796867	294.6	183
37.77375941	-122.0697734	209.2	184
37.75519206	-121.7474382	213.2	185
37.73812601	-121.783461	193.4	186
37.61227369	-121.8175329	204.9	187
37.49975552	-121.7367559	673.5	188
37.66306902	-121.9670393	471.2	189
37.66683358	-121.9681983	472.9	190
37.7658456	-121.6817204	242.3	191
37.72906716	-121.8075317	186.7	192
37.58516453	-121.8938294	135	193
37.51185238	-121.8361108	233.8	194
37.72404838	-122.001936	218.3	195
37.63589807	-122.0120259	261.7	196
37.74522835	-122.0643746	289.3	197
37.48683693	-121.8570283	633.8	198
37.73159707	-121.6220813	172.6	199
37.73138819	-122.0182516	320	200
37.58634001	-121.859626	138.8	201
37.74328899	-121.8534788	206	202
37.77847753	-122.0647601	215.7	203
37.71095242	-121.8123268	187.9	204
37.62955365	-121.9980671	370.3	205
37.53321663	-121.850031	122.5	206
37.7304116	-121.712634	172.8	207
37.48585126	-121.8591936	632.7	208
37.49909635	-121.4819571	969.2	209
37.70702235	-121.9766057	254.4	210
37.59881662	-121.8883452	133.1	211
37.6512197	-121.7849613	145	212
37.62880101	-121.6825811	362.8	213
37.59117644	-121.9548373	39.1	214
37.74380262	-121.7373057	186.1	215
37.55539593	-121.8558025	180.1	216
37.72226991	-121.8512038	185.4	217
37.59053258	-121.8313157	172.8	218
37.6831122	-122.0378356	178.8	219
37.56824662	-121.9543858	97.4	220
37.62641816	-121.999716	341.9	221
37.60776226	-121.8696034	137.3	222
37.56991344	-121.9219549	295.1	223
37.64733008	-121.9720846	307.3	224
37.51719572	-121.8007831	420.4	225
37.72840567	-121.7762663	169.1	226
37.66465192	-121.8319154	106.4	227
37.56643679	-121.7763279	261	228
37.63675808	-122.0277073	221.7	229
37.50786186	-121.7253823	1039.6	230
37.71489385	-121.8508778	148.4	231
37.66068946	-121.7579778	166.8	232
37.5695953	-121.8017328	177.6	233
37.58718561	-121.9479577	246.2	234
37.72198864	-122.0740355	124	235
37.6452872	-121.8899112	122.3	236
37.65051445	-121.8603272	181.2	237
37.63036538	-122.0176142	260.6	238
37.74024474	-121.8641028	163.1	239
37.77127618	-121.6778557	276.7	240
37.53203443	-121.7845383	723.9	241
37.51601108	-121.8663813	548.8	242
37.69325212	-121.5575621	176.7	243
37.7655686	-121.5838303	87.2	244
37.80107029	-122.1146579	141.6	245
37.49184541	-121.896608	260.1	246
37.52815519	-121.8855453	402.2	247
37.70479216	-121.7615149	154.5	248
37.66523421	-121.6164421	611.5	249
37.75342812	-122.0387539	269.4	250
37.71230553	-121.848866	137.4	251
37.71591926	-121.965619	225.8	252
37.71536326	-121.98058	273.3	253
37.62808718	-121.5669569	398.3	254
37.78164991	-121.6965259	295.6	255
37.54608344	-121.9009853	330.1	256
37.72408028	-121.6890579	220.1	257
37.49873858	-121.8917442	352.3	258
37.64104814	-121.6365944	376.7	259
37.7044868	-121.875078	108.2	260
37.79431908	-122.0666045	342.4	261
37.78240845	-122.083395	288.4	262
37.67063088	-121.8072605	86.7	263
37.7711236	-122.0122682	252.8	264
37.48850154	-121.893179	322.2	265
37.67533155	-121.5582603	412	266
37.78622021	-122.0611379	238	267
37.79314116	-122.1178947	173.7	268
37.73840015	-121.7250919	175.4	269
37.59318885	-121.9064404	96.5	270
37.5445762	-121.8805446	211.6	271
37.67515388	-121.9887409	342.7	272
37.5117886	-121.8870437	529.7	273
37.75138445	-121.6574226	289.3	274
37.74902676	-122.0347848	183.4	275
37.68660031	-121.834308	110.7	276
37.63270087	-121.8334344	298.4	277
37.64455815	-121.7995872	140.3	278
37.69743545	-121.9743114	230.4	279
37.75898374	-122.0382942	230.6	280
37.62387904	-121.677615	404.9	281
37.75639297	-121.6729562	245.2	282
37.65264589	-121.6225889	498.9	283
37.71181386	-121.8702828	117.2	284
37.59549151	-121.8290344	170.1	285
37.62018363	-122.0114302	176.7	286
37.68607363	-121.9310968	136.3	287
37.77548212	-122.0791777	210.5	288
37.70920025	-121.6963226	213.7	289
37.64745247	-121.6433827	360.7	290
37.48526245	-121.8200974	278.9	291
37.61466747	-121.9661331	442.9	292
37.74279109	-121.8180596	241.4	293
37.71176683	-121.7717233	161.7	294
37.78912849	-122.0650695	283.8	295
37.71304449	-121.7488936	154	296
37.72088108	-122.0314538	191.9	297
37.63661016	-121.9678278	433.9	298
37.70828713	-122.0057054	200.7	299
37.72093406	-122.0978439	172.2	300
37.67069355	-121.7966081	132.7	301
37.77115153	-121.6813296	252.7	302
37.59475559	-121.7790197	231	303
37.49999324	-121.64894	851.1	304
37.56618793	-121.9049471	212.9	305
37.78585041	-121.6202884	71.8	306
37.56177106	-121.7148004	628.8	307
37.65413893	-121.606691	437.3	308
37.70885245	-121.9166241	100.2	309
37.75236599	-122.018923	239.7	310
37.63912609	-121.8458079	233.8	311
37.54388536	-121.9249817	97.3	312
37.69085456	-122.0211494	129.2	313
37.61351856	-121.84303	161.9	314
37.61958582	-122.0149396	164.3	315
37.68519265	-122.0135935	155.5	316
37.54366202	-121.8891128	351.2	317
37.73280228	-122.0392279	205.8	318
37.52504342	-121.8811056	446.2	319
37.59049698	-121.7137903	217.5	320
37.77119682	-121.7367567	238.4	321
37.71919069	-121.948145	161.1	322
37.53842756	-121.8511125	176.8	323
37.64528328	-121.70413	267	324
37.67139431	-121.9156775	108.3	325
37.65217559	-121.6089893	449.7	326
37.68897467	-121.9459456	227.3	327
37.6512291	-122.0129034	390.6	328
37.68212226	-121.9394171	199.9	329
37.72264404	-121.698854	214	330
37.71983927	-122.0239709	263.2	331
37.64212973	-121.8077413	152.5	332
37.7327413	-121.9965264	378.4	333
37.62577314	-121.7918225	203.2	334
37.53952226	-121.9056583	259.3	335
37.64058523	-122.0001906	393.4	336
37.65839132	-121.5607197	438	337
37.7137834	-121.6353154	366.6	338
37.64317516	-121.7963552	139.5	339
37.692475	-121.9440804	209.1	340
37.65861906	-121.7379965	195.3	341
37.70711967	-121.6171051	201.9	342
37.66352096	-121.564492	460	343
37.78456886	-121.6835142	250.9	344
37.60875908	-122.0070162	120.7	345
37.68568046	-121.8504391	88.7	346
37.66703523	-121.8406979	106.2	347
37.73180358	-121.8210253	215.7	348
37.67823612	-121.8334605	105.1	349
37.59060961	-121.8521334	175.9	350
37.7111179	-121.8227631	171.3	351
37.71312032	-122.1033114	132.6	352
37.64909562	-121.9632644	415.3	353
37.67219183	-121.9605337	403.5	354
37.57536002	-121.863759	88.4	355
37.72500233	-121.8756836	131.3	356
37.70365531	-121.6336629	368.5	357
37.67608679	-121.7221992	183.4	358
37.75418873	-121.7882216	235	359
37.61415133	-122.017145	54	360
37.63728067	-121.6308686	483.9	361
37.6554561	-121.8928432	99.5	362
37.55420047	-121.8396892	313.8	363
37.58140352	-121.835136	159.8	364
37.64466193	-121.7057551	266.3	365
37.74089475	-122.0190985	266.7	366
37.60748279	-121.8383035	155.3	367
