type	latitude	longitude	altitude (m)	name
W	41.937131306	-120.008995878	1616.5	254
W	41.906384973	-124.182568688	4.0	255
W	41.906384973	-124.141246185	16.3	256
W	41.906384973	-124.099923682	298.6	257
W	41.906384973	-124.058601179	706.6	258
W	41.906384973	-124.017278676	571.1	259
W	41.906384973	-123.975956173	569.4	260
W	41.906384973	-123.934633670	972.9	261
W	41.906384973	-123.893311167	955.6	262
W	41.906384973	-123.851988664	434.6	263
W	41.906384973	-123.810666160	578.5	264
W	41.906384973	-123.769343657	434.2	265
W	41.906384973	-123.728021154	730.5	266
W	41.906384973	-123.686698651	853.4	267
W	41.906384973	-123.645376148	1605.9	268
W	41.906384973	-123.604053645	1545.2	269
W	41.906384973	-123.562731142	1579.1	270
W	41.906384973	-123.521408639	1275.9	271
W	41.906384973	-123.480086136	991.0	272
W	41.906384973	-123.438763633	589.4	273
W	41.906384973	-123.397441130	665.0	274
W	41.906384973	-123.356118627	880.3	275
W	41.906384973	-123.314796124	1058.6	276
W	41.906384973	-123.273473621	975.9	277
W	41.906384973	-123.232151118	988.2	278
W	41.906384973	-123.190828614	1329.3	279
W	41.906384973	-123.149506111	926.3	280
W	41.906384973	-123.108183608	1210.9	281
W	41.906384973	-123.066861105	801.2	282
W	41.906384973	-123.025538602	1183.4	283
W	41.906384973	-122.984216099	1562.2	284
W	41.906384973	-122.942893596	2031.2	285
W	41.906384973	-122.901571093	1477.7	286
W	41.906384973	-122.860248590	930.5	287
W	41.906384973	-122.818926087	855.3	288
W	41.906384973	-122.777603584	1190.4	289
W	41.906384973	-122.736281081	873.6	290
W	41.906384973	-122.694958578	1041.0	291
W	41.906384973	-122.653636075	1592.0	292
W	41.906384973	-122.612313571	1157.8	293
W	41.906384973	-122.570991068	722.3	294
W	41.906384973	-122.529668565	798.0	295
W	41.906384973	-122.488346062	782.8	296
W	41.906384973	-122.447023559	774.6	297
W	41.906384973	-122.405701056	857.3	298
W	41.906384973	-122.364378553	841.0	299
W	41.906384973	-122.323056050	1272.9	300
W	41.906384973	-122.281733547	1625.4	301
W	41.906384973	-122.240411044	1878.3	302
W	41.906384973	-122.199088541	1676.4	303
W	41.906384973	-122.157766038	1402.6	304
W	41.906384973	-122.116443535	1301.2	305
W	41.906384973	-122.075121032	1309.0	306
W	41.906384973	-122.033798529	1293.3	307
W	41.906384973	-121.992476025	1293.5	308
W	41.906384973	-121.951153522	1292.7	309
W	41.906384973	-121.909831019	1292.0	310
W	41.906384973	-121.868508516	1555.7	311
W	41.906384973	-121.827186013	1267.3	312
W	41.906384973	-121.785863510	1254.0	313
W	41.906384973	-121.744541007	1295.6	314
W	41.906384973	-121.703218504	1242.2	315
W	41.906384973	-121.661896001	1242.3	316
W	41.906384973	-121.620573498	1357.9	317
W	41.906384973	-121.579250995	1339.6	318
W	41.906384973	-121.537928492	1229.9	319
W	41.906384973	-121.496605989	1230.5	320
W	41.906384973	-121.455283486	1229.5	321
W	41.906384973	-121.413960982	1229.8	322
W	41.906384973	-121.372638479	1229.9	323
W	41.906384973	-121.331315976	1273.1	324
W	41.906384973	-121.289993473	1374.5	325
W	41.906384973	-121.248670970	1410.1	326
W	41.906384973	-121.207348467	1366.6	327
W	41.906384973	-121.166025964	1373.9	328
W	41.906384973	-121.124703461	1366.6	329
W	41.906384973	-121.083380958	1366.6	330
W	41.906384973	-121.042058455	1400.1	331
