time,relhumid-min_day_CNRM-CM5_rcp85
2006-08-02 00:00:00+00:00,21.506645
2006-08-03 00:00:00+00:00,21.630348
2006-08-04 00:00:00+00:00,19.697832
2006-08-05 00:00:00+00:00,22.230429
2006-08-06 00:00:00+00:00,22.961906
2006-08-07 00:00:00+00:00,24.513622
2006-08-08 00:00:00+00:00,21.341507
2006-08-09 00:00:00+00:00,22.117315
2006-08-10 00:00:00+00:00,21.57566
2006-08-11 00:00:00+00:00,19.69969
2006-08-12 00:00:00+00:00,19.713062
2006-08-13 00:00:00+00:00,22.305403
2006-08-14 00:00:00+00:00,27.602743
2006-08-15 00:00:00+00:00,31.28778
2006-08-16 00:00:00+00:00,28.866566
2006-08-17 00:00:00+00:00,32.913334
2006-08-18 00:00:00+00:00,25.781046
2006-08-19 00:00:00+00:00,20.591822
2006-08-20 00:00:00+00:00,19.459442
2006-08-21 00:00:00+00:00,20.477507
2006-08-22 00:00:00+00:00,24.45584
2006-08-23 00:00:00+00:00,28.19969
2006-08-24 00:00:00+00:00,27.721035
2006-08-25 00:00:00+00:00,29.399572
2006-08-26 00:00:00+00:00,31.002953
2006-08-27 00:00:00+00:00,31.802898
2006-08-28 00:00:00+00:00,29.97764
2006-08-29 00:00:00+00:00,32.5628
2006-08-30 00:00:00+00:00,32.0218
2006-08-31 00:00:00+00:00,26.508087
2006-09-01 00:00:00+00:00,21.836845
2006-09-02 00:00:00+00:00,32.871525
2006-09-03 00:00:00+00:00,42.753487
2006-09-04 00:00:00+00:00,39.54028
2006-09-05 00:00:00+00:00,26.562397
2006-09-06 00:00:00+00:00,24.60117
2006-09-07 00:00:00+00:00,22.716972
2006-09-08 00:00:00+00:00,20.981277
2006-09-09 00:00:00+00:00,23.403732
2006-09-10 00:00:00+00:00,28.80539
2006-09-11 00:00:00+00:00,33.507027
2006-09-12 00:00:00+00:00,36.981873
2006-09-13 00:00:00+00:00,38.178375
2006-09-14 00:00:00+00:00,34.043633
2006-09-15 00:00:00+00:00,28.415361
2006-09-16 00:00:00+00:00,31.333155
2006-09-17 00:00:00+00:00,29.99756
2006-09-18 00:00:00+00:00,36.00065
2006-09-19 00:00:00+00:00,42.89797
2006-09-20 00:00:00+00:00,32.24829
2006-09-21 00:00:00+00:00,36.134186
2006-09-22 00:00:00+00:00,33.94979
2006-09-23 00:00:00+00:00,29.956747
2006-09-24 00:00:00+00:00,22.593088
2006-09-25 00:00:00+00:00,16.392624
2006-09-26 00:00:00+00:00,13.181799
2006-09-27 00:00:00+00:00,17.483768
2006-09-28 00:00:00+00:00,24.027445
2006-09-29 00:00:00+00:00,19.77297
2006-09-30 00:00:00+00:00,14.921976
2006-10-01 00:00:00+00:00,17.146008
2006-10-02 00:00:00+00:00,24.817904
2006-10-03 00:00:00+00:00,32.389637
2006-10-04 00:00:00+00:00,37.544807
2006-10-05 00:00:00+00:00,35.277397
2006-10-06 00:00:00+00:00,32.92043
2006-10-07 00:00:00+00:00,35.36326
2006-10-08 00:00:00+00:00,38.910595
2006-10-09 00:00:00+00:00,40.221157
2006-10-10 00:00:00+00:00,62.038086
2006-10-11 00:00:00+00:00,43.332325
2006-10-12 00:00:00+00:00,48.133377
2006-10-13 00:00:00+00:00,53.88611
2006-10-14 00:00:00+00:00,50.70807
