time,wspeed_day_CNRM-CM5_rcp85
2006-08-05 00:00:00+00:00,3.0826368
2006-08-06 00:00:00+00:00,2.8397305
2006-08-07 00:00:00+00:00,2.9285924
2006-08-08 00:00:00+00:00,2.4443521
2006-08-09 00:00:00+00:00,2.898243
2006-08-10 00:00:00+00:00,3.6489494
2006-08-11 00:00:00+00:00,2.3915794
2006-08-12 00:00:00+00:00,2.4083161
2006-08-13 00:00:00+00:00,2.8496766
2006-08-14 00:00:00+00:00,3.9218261
2006-08-15 00:00:00+00:00,3.5581133
2006-08-16 00:00:00+00:00,4.4066067
2006-08-17 00:00:00+00:00,6.4168386
2006-08-18 00:00:00+00:00,2.5446262
2006-08-19 00:00:00+00:00,2.0137396
2006-08-20 00:00:00+00:00,2.5560958
2006-08-21 00:00:00+00:00,3.669976
2006-08-22 00:00:00+00:00,4.7525787
2006-08-23 00:00:00+00:00,2.7222755
2006-08-24 00:00:00+00:00,3.1770945
2006-08-25 00:00:00+00:00,4.411079
2006-08-26 00:00:00+00:00,4.364968
2006-08-27 00:00:00+00:00,3.4425836
2006-08-28 00:00:00+00:00,2.9602423
2006-08-29 00:00:00+00:00,5.559129
2006-08-30 00:00:00+00:00,3.8824668
2006-08-31 00:00:00+00:00,2.8228524
2006-09-01 00:00:00+00:00,2.4083836
2006-09-02 00:00:00+00:00,5.03128
2006-09-03 00:00:00+00:00,4.295244
2006-09-04 00:00:00+00:00,2.9934642
2006-09-05 00:00:00+00:00,3.4520748
2006-09-06 00:00:00+00:00,3.811672
2006-09-07 00:00:00+00:00,1.5679315
2006-09-08 00:00:00+00:00,1.8926113
2006-09-09 00:00:00+00:00,2.806695
2006-09-10 00:00:00+00:00,2.555494
2006-09-11 00:00:00+00:00,2.4721253
2006-09-12 00:00:00+00:00,3.5448272
2006-09-13 00:00:00+00:00,3.5902364
2006-09-14 00:00:00+00:00,3.3012822
2006-09-15 00:00:00+00:00,2.0789738
2006-09-16 00:00:00+00:00,3.5156982
2006-09-17 00:00:00+00:00,4.082325
2006-09-18 00:00:00+00:00,4.7328415
2006-09-19 00:00:00+00:00,3.6198967
2006-09-20 00:00:00+00:00,3.8906434
2006-09-21 00:00:00+00:00,4.969701
2006-09-22 00:00:00+00:00,3.9753013
2006-09-23 00:00:00+00:00,4.4463406
2006-09-24 00:00:00+00:00,3.526059
2006-09-25 00:00:00+00:00,4.8103027
2006-09-26 00:00:00+00:00,2.2830637
2006-09-27 00:00:00+00:00,1.4865298
2006-09-28 00:00:00+00:00,3.198001
2006-09-29 00:00:00+00:00,2.5372262
2006-09-30 00:00:00+00:00,1.8973241
2006-10-01 00:00:00+00:00,1.4367
2006-10-02 00:00:00+00:00,3.2447433
2006-10-03 00:00:00+00:00,1.71215
2006-10-04 00:00:00+00:00,3.2841907
2006-10-05 00:00:00+00:00,3.6381085
2006-10-06 00:00:00+00:00,2.8648193
2006-10-07 00:00:00+00:00,2.5737429
2006-10-08 00:00:00+00:00,2.8514524
2006-10-09 00:00:00+00:00,3.657188
2006-10-10 00:00:00+00:00,3.5812273
2006-10-11 00:00:00+00:00,1.5430164
2006-10-12 00:00:00+00:00,2.888938
2006-10-13 00:00:00+00:00,3.3820617
2006-10-14 00:00:00+00:00,3.0928414
2006-10-15 00:00:00+00:00,1.8088044
2006-10-16 00:00:00+00:00,3.2815633
2006-10-17 00:00:00+00:00,4.321715
2006-10-18 00:00:00+00:00,2.5490997
2006-10-19 00:00:00+00:00,1.4537024
2006-10-20 00:00:00+00:00,1.9193617
2006-10-21 00:00:00+00:00,3.1915772
2006-10-22 00:00:00+00:00,3.7499337
2006-10-23 00:00:00+00:00,2.3223815
2006-10-24 00:00:00+00:00,1.884648
2006-10-25 00:00:00+00:00,3.7175891
2006-10-26 00:00:00+00:00,3.3477304
2006-10-27 00:00:00+00:00,1.7434801
2006-10-28 00:00:00+00:00,0.8984976
2006-10-29 00:00:00+00:00,6.785168
2006-10-30 00:00:00+00:00,5.992256
2006-10-31 00:00:00+00:00,4.1707277
2006-11-01 00:00:00+00:00,1.9901457
2006-11-02 00:00:00+00:00,3.6099014
2006-11-03 00:00:00+00:00,3.1249192
2006-11-04 00:00:00+00:00,2.6887565
2006-11-05 00:00:00+00:00,3.1522112
2006-11-06 00:00:00+00:00,2.2884393
2006-11-07 00:00:00+00:00,1.9551781
2006-11-08 00:00:00+00:00,2.5222254
2006-11-09 00:00:00+00:00,3.8007107
2006-11-10 00:00:00+00:00,2.0528502
2006-11-11 00:00:00+00:00,1.4059138
2006-11-12 00:00:00+00:00,1.4662127
2006-11-13 00:00:00+00:00,3.071817
2006-11-14 00:00:00+00:00,6.4916577
2006-11-15 00:00:00+00:00,1.8697605
2006-11-16 00:00:00+00:00,1.9083123
2006-11-17 00:00:00+00:00,6.1982455
2006-11-18 00:00:00+00:00,8.270799
2006-11-19 00:00:00+00:00,2.7342029
2006-11-20 00:00:00+00:00,1.9391878
2006-11-21 00:00:00+00:00,3.4850564
2006-11-22 00:00:00+00:00,3.2876325
2006-11-23 00:00:00+00:00,2.3902826
2006-11-24 00:00:00+00:00,3.7349083
2006-11-25 00:00:00+00:00,3.0028777
2006-11-26 00:00:00+00:00,2.432022
2006-11-27 00:00:00+00:00,2.2563508
2006-11-28 00:00:00+00:00,3.2164304
2006-11-29 00:00:00+00:00,2.7006247
2006-11-30 00:00:00+00:00,3.370941
2006-12-01 00:00:00+00:00,3.197978
2006-12-02 00:00:00+00:00,2.7562463
2006-12-03 00:00:00+00:00,1.0448424
2006-12-04 00:00:00+00:00,8.477174
2006-12-05 00:00:00+00:00,8.861392
2006-12-06 00:00:00+00:00,3.6414177
2006-12-07 00:00:00+00:00,0.92436486
2006-12-08 00:00:00+00:00,3.8069954
2006-12-09 00:00:00+00:00,3.3324928
2006-12-10 00:00:00+00:00,2.8064916
2006-12-11 00:00:00+00:00,1.0573199
2006-12-12 00:00:00+00:00,9.465795
2006-12-13 00:00:00+00:00,9.091252
2006-12-14 00:00:00+00:00,7.50377
2006-12-15 00:00:00+00:00,6.6665077
2006-12-16 00:00:00+00:00,4.085656
2006-12-17 00:00:00+00:00,6.3520355
2006-12-18 00:00:00+00:00,1.4339077
2006-12-19 00:00:00+00:00,3.4781003
2006-12-20 00:00:00+00:00,2.5547678
2006-12-21 00:00:00+00:00,5.273238
2006-12-22 00:00:00+00:00,3.9230404
2006-12-23 00:00:00+00:00,3.3674438
2006-12-24 00:00:00+00:00,4.385105
2006-12-25 00:00:00+00:00,1.3910292
2006-12-26 00:00:00+00:00,6.0300417
2006-12-27 00:00:00+00:00,4.215379
2006-12-28 00:00:00+00:00,6.623963
2006-12-29 00:00:00+00:00,1.8066518
2006-12-30 00:00:00+00:00,3.372798
2006-12-31 00:00:00+00:00,3.8214076
2007-01-01 00:00:00+00:00,1.43172
2007-01-02 00:00:00+00:00,3.0199952
2007-01-03 00:00:00+00:00,4.520655
2007-01-04 00:00:00+00:00,4.0683713
2007-01-05 00:00:00+00:00,1.702586
2007-01-06 00:00:00+00:00,2.225961
2007-01-07 00:00:00+00:00,4.4811482
2007-01-08 00:00:00+00:00,2.8187218
2007-01-09 00:00:00+00:00,2.8088715
2007-01-10 00:00:00+00:00,1.8720777
2007-01-11 00:00:00+00:00,5.5029044
2007-01-12 00:00:00+00:00,2.0550535
2007-01-13 00:00:00+00:00,5.113557
2007-01-14 00:00:00+00:00,2.353092
2007-01-15 00:00:00+00:00,8.378462
2007-01-16 00:00:00+00:00,7.481322
2007-01-17 00:00:00+00:00,8.351477
2007-01-18 00:00:00+00:00,5.8983035
2007-01-19 00:00:00+00:00,4.468708
