time,tasmax_day_CNRM-CM5_rcp85
2006-11-06 00:00:00+00:00,295.3856
2006-11-07 00:00:00+00:00,296.0084
2006-11-08 00:00:00+00:00,294.71283
2006-11-09 00:00:00+00:00,295.24713
2006-11-10 00:00:00+00:00,295.41068
2006-11-11 00:00:00+00:00,294.01855
2006-11-12 00:00:00+00:00,292.89554
2006-11-13 00:00:00+00:00,290.84195
2006-11-14 00:00:00+00:00,287.38232
2006-11-15 00:00:00+00:00,284.8162
2006-11-16 00:00:00+00:00,288.31607
2006-11-17 00:00:00+00:00,288.5597
2006-11-18 00:00:00+00:00,288.12674
2006-11-19 00:00:00+00:00,286.21625
2006-11-20 00:00:00+00:00,282.73517
2006-11-21 00:00:00+00:00,283.4413
2006-11-22 00:00:00+00:00,285.00195
2006-11-23 00:00:00+00:00,285.9451
2006-11-24 00:00:00+00:00,286.9473
2006-11-25 00:00:00+00:00,288.65637
2006-11-26 00:00:00+00:00,290.19138
2006-11-27 00:00:00+00:00,291.476
2006-11-28 00:00:00+00:00,292.48016
2006-11-29 00:00:00+00:00,290.24234
2006-11-30 00:00:00+00:00,290.4509
2006-12-01 00:00:00+00:00,293.86215
2006-12-02 00:00:00+00:00,294.14847
2006-12-03 00:00:00+00:00,291.77594
2006-12-04 00:00:00+00:00,287.60764
2006-12-05 00:00:00+00:00,284.0563
2006-12-06 00:00:00+00:00,284.776
2006-12-07 00:00:00+00:00,287.57233
2006-12-08 00:00:00+00:00,289.1505
2006-12-09 00:00:00+00:00,289.40796
2006-12-10 00:00:00+00:00,287.349
2006-12-11 00:00:00+00:00,284.50406
2006-12-12 00:00:00+00:00,283.8994
2006-12-13 00:00:00+00:00,287.2645
2006-12-14 00:00:00+00:00,286.675
2006-12-15 00:00:00+00:00,284.89578
2006-12-16 00:00:00+00:00,283.2079
2006-12-17 00:00:00+00:00,282.9212
2006-12-18 00:00:00+00:00,283.19382
2006-12-19 00:00:00+00:00,285.51602
2006-12-20 00:00:00+00:00,286.6547
2006-12-21 00:00:00+00:00,286.45883
2006-12-22 00:00:00+00:00,283.94965
2006-12-23 00:00:00+00:00,282.7625
2006-12-24 00:00:00+00:00,286.05283
2006-12-25 00:00:00+00:00,287.13623
2006-12-26 00:00:00+00:00,285.17764
2006-12-27 00:00:00+00:00,278.98605
2006-12-28 00:00:00+00:00,279.1709
2006-12-29 00:00:00+00:00,280.85593
2006-12-30 00:00:00+00:00,285.72305
2006-12-31 00:00:00+00:00,284.66156
2007-01-01 00:00:00+00:00,285.12344
2007-01-02 00:00:00+00:00,284.23114
2007-01-03 00:00:00+00:00,284.8868
2007-01-04 00:00:00+00:00,285.373
2007-01-05 00:00:00+00:00,285.3333
2007-01-06 00:00:00+00:00,285.8109
2007-01-07 00:00:00+00:00,283.59537
2007-01-08 00:00:00+00:00,284.48767
2007-01-09 00:00:00+00:00,283.01562
2007-01-10 00:00:00+00:00,287.27588
