type	latitude	longitude	altitude (m)	name
W	41.872807124	-118.988781990	1552.8	222
W	41.872807124	-118.918781990	1577.7	223
W	41.872807124	-118.848781990	1328.9	224
W	41.872807124	-118.778781990	1293.2	225
W	41.872807124	-118.708781990	1292.0	226
W	41.872807124	-118.638781990	1385.6	227
W	41.872807124	-118.568781990	1441.8	228
W	41.872807124	-118.498781990	1709.4	229
W	41.872807124	-118.428781990	2104.8	230
W	41.872807124	-118.358781990	2085.8	231
W	41.872807124	-118.288781990	1370.5	232
W	41.872807124	-118.218781990	1414.1	233
W	41.872807124	-118.148781990	1896.3	234
W	41.872807124	-118.078781990	1925.6	235
W	41.872807124	-118.008781990	1863.7	236
W	41.872807124	-117.938781990	1600.6	237
W	41.872807124	-117.868781990	1809.2	238
W	41.872807124	-117.798781990	1602.9	239
W	41.872807124	-117.728781990	1327.4	240
W	41.872807124	-117.658781990	1417.5	241
W	41.872807124	-117.588781990	2005.6	242
W	41.872807124	-117.518781990	1929.4	243
W	41.872807124	-117.448781990	2115.6	244
W	41.872807124	-117.378781990	2048.8	245
W	41.872807124	-117.308781990	2124.8	246
W	41.872807124	-117.238781990	1845.1	247
W	41.872807124	-117.168781990	1757.0	248
W	41.872807124	-117.098781990	1694.8	249
W	41.872807124	-117.028781990	1641.0	250
W	41.872807124	-116.958781990	1606.7	251
W	41.872807124	-116.888781990	1608.0	252
W	41.872807124	-116.818781990	1589.0	253
W	41.872807124	-116.748781990	1608.7	254
W	41.872807124	-116.678781990	1603.3	255
W	41.872807124	-116.608781990	1549.1	256
W	41.872807124	-116.538781990	1619.0	257
W	41.872807124	-116.468781990	1581.2	258
W	41.872807124	-116.398781990	1680.6	259
W	41.872807124	-116.328781990	1707.2	260
W	41.872807124	-116.258781990	1616.2	261
W	41.872807124	-116.188781990	1730.0	262
W	41.872807124	-116.118781990	1819.5	263
W	41.872807124	-116.048781990	1812.4	264
W	41.872807124	-115.978781990	1928.9	265
W	41.872807124	-115.908781990	2094.9	266
W	41.872807124	-115.838781990	2592.2	267
W	41.872807124	-115.768781990	2007.6	268
W	41.872807124	-115.698781990	1789.8	269
W	41.872807124	-115.628781990	1665.4	270
W	41.872807124	-115.558781990	2017.2	271
W	41.872807124	-115.488781990	2409.5	272
W	41.872807124	-115.418781990	2267.7	273
W	41.872807124	-115.348781990	2655.6	274
W	41.872807124	-115.278781990	2463.8	275
W	41.872807124	-115.208781990	2519.7	276
W	41.872807124	-115.138781990	2172.5	277
W	41.872807124	-115.068781990	1979.5	278
W	41.872807124	-114.998781990	1863.8	279
W	41.872807124	-114.928781990	1994.4	280
W	41.872807124	-114.858781990	1963.7	281
W	41.872807124	-114.788781990	1904.7	282
W	41.872807124	-114.718781990	1661.0	283
W	41.872807124	-114.648781990	1612.3	284
W	41.872807124	-114.578781990	1656.4	285
W	41.872807124	-114.508781990	1894.8	286
W	41.872807124	-114.438781990	2322.2	287
W	41.872807124	-114.368781990	1956.0	288
W	41.872807124	-114.298781990	1757.2	289
W	41.872807124	-114.228781990	1651.8	290
W	41.802807124	-124.308781990	0.0	291
W	41.802807124	-124.238781990	0.0	292
W	41.802807124	-124.168781990	11.2	293
W	41.802807124	-124.098781990	221.6	294
W	41.802807124	-124.028781990	515.2	295
W	41.802807124	-123.958781990	335.5	296
W	41.802807124	-123.888781990	962.6	297
W	41.802807124	-123.818781990	817.8	298
W	41.802807124	-123.748781990	1457.0	299
W	41.802807124	-123.678781990	1803.9	300
W	41.802807124	-123.608781990	1023.1	301
W	41.802807124	-123.538781990	1174.6	302
W	41.802807124	-123.468781990	1312.2	303
W	41.802807124	-123.398781990	623.3	304
W	41.802807124	-123.328781990	365.6	305
W	41.802807124	-123.258781990	878.4	306
W	41.802807124	-123.188781990	957.3	307
W	41.802807124	-123.118781990	648.8	308
W	41.802807124	-123.048781990	1041.2	309
W	41.802807124	-122.978781990	875.4	310
W	41.802807124	-122.908781990	825.7	311
W	41.802807124	-122.838781990	926.8	312
W	41.802807124	-122.768781990	1205.7	313
W	41.802807124	-122.698781990	938.4	314
W	41.802807124	-122.628781990	1384.4	315
W	41.802807124	-122.558781990	1301.6	316
W	41.802807124	-122.488781990	835.3	317
W	41.802807124	-122.418781990	841.0	318
W	41.802807124	-122.348781990	1195.9	319
W	41.802807124	-122.278781990	1629.7	320
W	41.802807124	-122.208781990	1881.5	321
W	41.802807124	-122.138781990	1999.0	322
W	41.802807124	-122.068781990	1297.1	323
W	41.802807124	-121.998781990	1297.9	324
W	41.802807124	-121.928781990	1329.4	325
W	41.802807124	-121.858781990	1637.5	326
W	41.802807124	-121.788781990	1433.5	327
W	41.802807124	-121.718781990	1338.5	328
W	41.802807124	-121.648781990	1382.9	329
W	41.802807124	-121.578781990	1306.6	330
W	41.802807124	-121.508781990	1256.9	331
W	41.802807124	-121.438781990	1256.9	332
W	41.802807124	-121.368781990	1257.5	333
W	41.802807124	-121.298781990	1278.5	334
W	41.802807124	-121.228781990	1505.3	335
W	41.802807124	-121.158781990	1366.6	336
W	41.802807124	-121.088781990	1384.9	337
W	41.802807124	-121.018781990	1427.2	338
W	41.802807124	-120.948781990	1455.5	339
W	41.802807124	-120.878781990	1500.7	340
W	41.802807124	-120.808781990	1519.5	341
W	41.802807124	-120.738781990	1515.3	342
W	41.802807124	-120.668781990	1554.3	343
W	41.802807124	-120.598781990	1577.2	344
W	41.802807124	-120.528781990	1578.2	345
W	41.802807124	-120.458781990	1434.0	346
W	41.802807124	-120.388781990	1434.8	347
W	41.802807124	-120.318781990	1996.7	348
W	41.802807124	-120.248781990	1673.5	349
W	41.802807124	-120.178781990	1449.0	350
W	41.802807124	-120.108781990	1359.4	351
W	41.802807124	-120.038781990	1614.3	352
W	41.802807124	-119.968781990	1757.9	353
W	41.802807124	-119.898781990	1937.1	354
W	41.802807124	-119.828781990	1735.1	355
W	41.802807124	-119.758781990	1760.7	356
W	41.802807124	-119.688781990	1706.2	357
W	41.802807124	-119.618781990	1931.6	358
W	41.802807124	-119.548781990	1780.8	359
W	41.802807124	-119.478781990	1783.0	360
W	41.802807124	-119.408781990	1812.7	361
W	41.802807124	-119.338781990	1873.6	362
W	41.802807124	-119.268781990	1912.9	363
W	41.802807124	-119.198781990	1821.7	364
W	41.802807124	-119.128781990	1746.3	365
W	41.802807124	-119.058781990	1574.0	366
W	41.802807124	-118.988781990	1512.7	367
W	41.802807124	-118.918781990	1899.5	368
W	41.802807124	-118.848781990	1384.6	369
W	41.802807124	-118.778781990	1311.3	370
W	41.802807124	-118.708781990	1449.3	371
W	41.802807124	-118.638781990	2282.9	372
W	41.802807124	-118.568781990	1415.8	373
W	41.802807124	-118.498781990	1517.9	374
W	41.802807124	-118.428781990	1920.5	375
W	41.802807124	-118.358781990	1915.2	376
W	41.802807124	-118.288781990	1399.5	377
W	41.802807124	-118.218781990	1300.7	378
W	41.802807124	-118.148781990	2105.5	379
W	41.802807124	-118.078781990	2030.5	380
W	41.802807124	-118.008781990	1801.7	381
W	41.802807124	-117.938781990	1569.0	382
W	41.802807124	-117.868781990	1527.4	383
W	41.802807124	-117.798781990	1304.5	384
W	41.802807124	-117.728781990	1346.6	385
W	41.802807124	-117.658781990	1441.4	386
W	41.802807124	-117.588781990	1847.7	387
W	41.802807124	-117.518781990	2071.9	388
W	41.802807124	-117.448781990	2016.5	389
W	41.802807124	-117.378781990	1868.8	390
W	41.802807124	-117.308781990	2162.5	391
W	41.802807124	-117.238781990	1907.0	392
W	41.802807124	-117.168781990	1832.9	393
W	41.802807124	-117.098781990	1723.2	394
W	41.802807124	-117.028781990	1651.8	395
W	41.802807124	-116.958781990	1617.2	396
W	41.802807124	-116.888781990	1608.0	397
W	41.802807124	-116.818781990	1597.7	398
W	41.802807124	-116.748781990	1602.2	399
W	41.802807124	-116.678781990	1638.4	400
W	41.802807124	-116.608781990	1600.3	401
W	41.802807124	-116.538781990	1554.0	402
W	41.802807124	-116.468781990	1501.2	403
W	41.802807124	-116.398781990	1526.6	404
W	41.802807124	-116.328781990	1597.4	405
W	41.802807124	-116.258781990	1631.7	406
W	41.802807124	-116.188781990	1749.5	407
W	41.802807124	-116.118781990	2206.2	408
W	41.802807124	-116.048781990	2147.3	409
W	41.802807124	-115.978781990	1880.4	410
W	41.802807124	-115.908781990	1868.6	411
W	41.802807124	-115.838781990	2002.2	412
W	41.802807124	-115.768781990	2165.8	413
W	41.802807124	-115.698781990	1990.6	414
W	41.802807124	-115.628781990	2206.3	415
W	41.802807124	-115.558781990	2032.3	416
W	41.802807124	-115.488781990	2511.9	417
W	41.802807124	-115.418781990	2462.0	418
W	41.802807124	-115.348781990	3004.4	419
W	41.802807124	-115.278781990	2753.6	420
W	41.802807124	-115.208781990	2409.0	421
W	41.802807124	-115.138781990	2013.9	422
W	41.802807124	-115.068781990	1914.8	423
W	41.802807124	-114.998781990	1767.9	424
W	41.802807124	-114.928781990	1968.7	425
W	41.802807124	-114.858781990	2368.3	426
W	41.802807124	-114.788781990	1844.4	427
W	41.802807124	-114.718781990	1646.9	428
W	41.802807124	-114.648781990	2196.2	429
W	41.802807124	-114.578781990	1687.7	430
W	41.802807124	-114.508781990	2132.5	431
W	41.802807124	-114.438781990	1979.4	432
W	41.802807124	-114.368781990	1820.7	433
W	41.802807124	-114.298781990	1793.7	434
W	41.802807124	-114.228781990	1777.9	435
W	41.732807124	-124.308781990	0.0	436
W	41.732807124	-124.238781990	0.0	437
W	41.732807124	-124.168781990	0.0	438
W	41.732807124	-124.098781990	80.8	439
W	41.732807124	-124.028781990	457.5	440
W	41.732807124	-123.958781990	391.3	441
W	41.732807124	-123.888781990	360.5	442
W	41.732807124	-123.818781990	976.6	443
W	41.732807124	-123.748781990	1241.7	444
W	41.732807124	-123.678781990	1638.6	445
W	41.732807124	-123.608781990	903.7	446
W	41.732807124	-123.538781990	524.3	447
W	41.732807124	-123.468781990	855.1	448
W	41.732807124	-123.398781990	765.0	449
W	41.732807124	-123.328781990	899.7	450
W	41.732807124	-123.258781990	1145.8	451
W	41.732807124	-123.188781990	1232.5	452
W	41.732807124	-123.118781990	1611.7	453
W	41.732807124	-123.048781990	1713.9	454
W	41.732807124	-122.978781990	918.5	455
W	41.732807124	-122.908781990	1368.8	456
W	41.732807124	-122.838781990	1474.7	457
W	41.732807124	-122.768781990	1660.6	458
W	41.732807124	-122.698781990	1052.4	459
W	41.732807124	-122.628781990	811.2	460
W	41.732807124	-122.558781990	754.2	461
W	41.732807124	-122.488781990	805.5	462
W	41.732807124	-122.418781990	846.1	463
W	41.732807124	-122.348781990	885.4	464
W	41.732807124	-122.278781990	1301.0	465
W	41.732807124	-122.208781990	2081.1	466
W	41.732807124	-122.138781990	1677.5	467
W	41.732807124	-122.068781990	1669.9	468
W	41.732807124	-121.998781990	1319.1	469
W	41.732807124	-121.928781990	1452.9	470
W	41.732807124	-121.858781990	1330.5	471
W	41.732807124	-121.788781990	1342.7	472
W	41.732807124	-121.718781990	1435.6	473
W	41.732807124	-121.648781990	1429.8	474
W	41.732807124	-121.578781990	1473.2	475
W	41.732807124	-121.508781990	1384.2	476
W	41.732807124	-121.438781990	1307.7	477
W	41.732807124	-121.368781990	1284.3	478
W	41.732807124	-121.298781990	1265.3	479
W	41.732807124	-121.228781990	1325.6	480
W	41.732807124	-121.158781990	1377.2	481
W	41.732807124	-121.088781990	1394.9	482
W	41.732807124	-121.018781990	1437.5	483
W	41.732807124	-120.948781990	1513.3	484
W	41.732807124	-120.878781990	1488.1	485
W	41.732807124	-120.808781990	1502.6	486
W	41.732807124	-120.738781990	1623.5	487
W	41.732807124	-120.668781990	1532.9	488
W	41.732807124	-120.598781990	1554.5	489
W	41.732807124	-120.528781990	1559.3	490
W	41.732807124	-120.458781990	1435.0	491
W	41.732807124	-120.388781990	1455.7	492
W	41.732807124	-120.318781990	1868.6	493
W	41.732807124	-120.248781990	2200.5	494
W	41.732807124	-120.178781990	1356.3	495
W	41.732807124	-120.108781990	1360.5	496
W	41.732807124	-120.038781990	1614.9	497
W	41.732807124	-119.968781990	1829.2	498
W	41.732807124	-119.898781990	1913.4	499
W	41.732807124	-119.828781990	1685.1	500
W	41.732807124	-119.758781990	1687.2	501
W	41.732807124	-119.688781990	1964.2	502
W	41.732807124	-119.618781990	1837.9	503
W	41.732807124	-119.548781990	1807.9	504
W	41.732807124	-119.478781990	1813.2	505
W	41.732807124	-119.408781990	1928.8	506
W	41.732807124	-119.338781990	1929.9	507
W	41.732807124	-119.268781990	2108.0	508
W	41.732807124	-119.198781990	1795.5	509
W	41.732807124	-119.128781990	1762.6	510
W	41.732807124	-119.058781990	1940.0	511
W	41.732807124	-118.988781990	1880.5	512
W	41.732807124	-118.918781990	1408.7	513
W	41.732807124	-118.848781990	1385.9	514
W	41.732807124	-118.778781990	1773.1	515
W	41.732807124	-118.708781990	1788.8	516
W	41.732807124	-118.638781990	2104.0	517
W	41.732807124	-118.568781990	1360.1	518
W	41.732807124	-118.498781990	1321.2	519
W	41.732807124	-118.428781990	1480.3	520
W	41.732807124	-118.358781990	1631.7	521
W	41.732807124	-118.288781990	1465.0	522
W	41.732807124	-118.218781990	1285.0	523
W	41.732807124	-118.148781990	1280.1	524
W	41.732807124	-118.078781990	1846.0	525
W	41.732807124	-118.008781990	1524.1	526
W	41.732807124	-117.938781990	1473.8	527
W	41.732807124	-117.868781990	1284.9	528
W	41.732807124	-117.798781990	1296.0	529
W	41.732807124	-117.728781990	1409.7	530
W	41.732807124	-117.658781990	1643.9	531
W	41.732807124	-117.588781990	2107.6	532
W	41.732807124	-117.518781990	2110.5	533
W	41.732807124	-117.448781990	1887.3	534
W	41.732807124	-117.378781990	1908.8	535
W	41.732807124	-117.308781990	1836.3	536
W	41.732807124	-117.238781990	1855.1	537
W	41.732807124	-117.168781990	1775.2	538
W	41.732807124	-117.098781990	1722.4	539
W	41.732807124	-117.028781990	1690.2	540
W	41.732807124	-116.958781990	1642.6	541
W	41.732807124	-116.888781990	1604.3	542
W	41.732807124	-116.818781990	1658.5	543
W	41.732807124	-116.748781990	1636.3	544
W	41.732807124	-116.678781990	1661.7	545
W	41.732807124	-116.608781990	1612.4	546
W	41.732807124	-116.538781990	1612.2	547
W	41.732807124	-116.468781990	1638.8	548
W	41.732807124	-116.398781990	1540.1	549
W	41.732807124	-116.328781990	1582.2	550
W	41.732807124	-116.258781990	1639.6	551
W	41.732807124	-116.188781990	1719.9	552
W	41.732807124	-116.118781990	2208.8	553
W	41.732807124	-116.048781990	2493.1	554
W	41.732807124	-115.978781990	1825.1	555
W	41.732807124	-115.908781990	1880.6	556
W	41.732807124	-115.838781990	2051.0	557
W	41.732807124	-115.768781990	2121.3	558
W	41.732807124	-115.698781990	2067.5	559
W	41.732807124	-115.628781990	2151.3	560
W	41.732807124	-115.558781990	1886.0	561
W	41.732807124	-115.488781990	2218.8	562
W	41.732807124	-115.418781990	2382.8	563
W	41.732807124	-115.348781990	2495.8	564
W	41.732807124	-115.278781990	2212.5	565
W	41.732807124	-115.208781990	2038.5	566
W	41.732807124	-115.138781990	1888.3	567
W	41.732807124	-115.068781990	1824.3	568
W	41.732807124	-114.998781990	2059.2	569
W	41.732807124	-114.928781990	1850.8	570
W	41.732807124	-114.858781990	1801.1	571
W	41.732807124	-114.788781990	1665.1	572
W	41.732807124	-114.718781990	1979.8	573
W	41.732807124	-114.648781990	2137.1	574
W	41.732807124	-114.578781990	1816.6	575
W	41.732807124	-114.508781990	2082.4	576
W	41.732807124	-114.438781990	1816.7	577
W	41.732807124	-114.368781990	1742.1	578
W	41.732807124	-114.298781990	1917.4	579
W	41.732807124	-114.228781990	1909.7	580
W	41.662807124	-124.308781990	0.0	581
W	41.662807124	-124.238781990	0.0	582
W	41.662807124	-124.168781990	0.0	583
W	41.662807124	-124.098781990	115.2	584
W	41.662807124	-124.028781990	643.1	585
W	41.662807124	-123.958781990	771.2	586
W	41.662807124	-123.888781990	427.4	587
W	41.662807124	-123.818781990	409.9	588
W	41.662807124	-123.748781990	1031.4	589
W	41.662807124	-123.678781990	1538.5	590
W	41.662807124	-123.608781990	863.0	591
W	41.662807124	-123.538781990	1317.1	592
W	41.662807124	-123.468781990	689.5	593
W	41.662807124	-123.398781990	628.7	594
W	41.662807124	-123.328781990	689.1	595
W	41.662807124	-123.258781990	1666.3	596
W	41.662807124	-123.188781990	1803.7	597
